X,method,Nt,p0,p1,miss0,miss1
1,RandUCB,200,0.1,0.1,0,0
2,RandUCB,200,0.1,0.1,0,0.1
3,RandUCB,200,0.1,0.1,0,0.2
4,RandUCB,200,0.1,0.1,0,0.3
5,RandUCB,200,0.1,0.1,0,0.4
6,RandUCB,200,0.1,0.1,0,0.5
7,RandUCB,200,0.1,0.1,0.1,0
8,RandUCB,200,0.1,0.1,0.1,0.1
9,RandUCB,200,0.1,0.1,0.1,0.2
10,RandUCB,200,0.1,0.1,0.1,0.3
11,RandUCB,200,0.1,0.1,0.1,0.4
12,RandUCB,200,0.1,0.1,0.1,0.5
13,RandUCB,200,0.1,0.1,0.2,0
14,RandUCB,200,0.1,0.1,0.2,0.1
15,RandUCB,200,0.1,0.1,0.2,0.2
16,RandUCB,200,0.1,0.1,0.2,0.3
17,RandUCB,200,0.1,0.1,0.2,0.4
18,RandUCB,200,0.1,0.1,0.2,0.5
19,RandUCB,200,0.1,0.1,0.3,0
20,RandUCB,200,0.1,0.1,0.3,0.1
21,RandUCB,200,0.1,0.1,0.3,0.2
22,RandUCB,200,0.1,0.1,0.3,0.3
23,RandUCB,200,0.1,0.1,0.3,0.4
24,RandUCB,200,0.1,0.1,0.3,0.5
25,RandUCB,200,0.1,0.1,0.4,0
26,RandUCB,200,0.1,0.1,0.4,0.1
27,RandUCB,200,0.1,0.1,0.4,0.2
28,RandUCB,200,0.1,0.1,0.4,0.3
29,RandUCB,200,0.1,0.1,0.4,0.4
30,RandUCB,200,0.1,0.1,0.4,0.5
31,RandUCB,200,0.1,0.1,0.5,0
32,RandUCB,200,0.1,0.1,0.5,0.1
33,RandUCB,200,0.1,0.1,0.5,0.2
34,RandUCB,200,0.1,0.1,0.5,0.3
35,RandUCB,200,0.1,0.1,0.5,0.4
36,RandUCB,200,0.1,0.1,0.5,0.5
37,RandUCB,200,0.3,0.3,0,0
38,RandUCB,200,0.3,0.3,0,0.1
39,RandUCB,200,0.3,0.3,0,0.2
40,RandUCB,200,0.3,0.3,0,0.3
41,RandUCB,200,0.3,0.3,0,0.4
42,RandUCB,200,0.3,0.3,0,0.5
43,RandUCB,200,0.3,0.3,0.1,0
44,RandUCB,200,0.3,0.3,0.1,0.1
45,RandUCB,200,0.3,0.3,0.1,0.2
46,RandUCB,200,0.3,0.3,0.1,0.3
47,RandUCB,200,0.3,0.3,0.1,0.4
48,RandUCB,200,0.3,0.3,0.1,0.5
49,RandUCB,200,0.3,0.3,0.2,0
50,RandUCB,200,0.3,0.3,0.2,0.1
51,RandUCB,200,0.3,0.3,0.2,0.2
52,RandUCB,200,0.3,0.3,0.2,0.3
53,RandUCB,200,0.3,0.3,0.2,0.4
54,RandUCB,200,0.3,0.3,0.2,0.5
55,RandUCB,200,0.3,0.3,0.3,0
56,RandUCB,200,0.3,0.3,0.3,0.1
57,RandUCB,200,0.3,0.3,0.3,0.2
58,RandUCB,200,0.3,0.3,0.3,0.3
59,RandUCB,200,0.3,0.3,0.3,0.4
60,RandUCB,200,0.3,0.3,0.3,0.5
61,RandUCB,200,0.3,0.3,0.4,0
62,RandUCB,200,0.3,0.3,0.4,0.1
63,RandUCB,200,0.3,0.3,0.4,0.2
64,RandUCB,200,0.3,0.3,0.4,0.3
65,RandUCB,200,0.3,0.3,0.4,0.4
66,RandUCB,200,0.3,0.3,0.4,0.5
67,RandUCB,200,0.3,0.3,0.5,0
68,RandUCB,200,0.3,0.3,0.5,0.1
69,RandUCB,200,0.3,0.3,0.5,0.2
70,RandUCB,200,0.3,0.3,0.5,0.3
71,RandUCB,200,0.3,0.3,0.5,0.4
72,RandUCB,200,0.3,0.3,0.5,0.5
73,RandUCB,200,0.5,0.5,0,0
74,RandUCB,200,0.5,0.5,0,0.1
75,RandUCB,200,0.5,0.5,0,0.2
76,RandUCB,200,0.5,0.5,0,0.3
77,RandUCB,200,0.5,0.5,0,0.4
78,RandUCB,200,0.5,0.5,0,0.5
79,RandUCB,200,0.5,0.5,0.1,0
80,RandUCB,200,0.5,0.5,0.1,0.1
81,RandUCB,200,0.5,0.5,0.1,0.2
82,RandUCB,200,0.5,0.5,0.1,0.3
83,RandUCB,200,0.5,0.5,0.1,0.4
84,RandUCB,200,0.5,0.5,0.1,0.5
85,RandUCB,200,0.5,0.5,0.2,0
86,RandUCB,200,0.5,0.5,0.2,0.1
87,RandUCB,200,0.5,0.5,0.2,0.2
88,RandUCB,200,0.5,0.5,0.2,0.3
89,RandUCB,200,0.5,0.5,0.2,0.4
90,RandUCB,200,0.5,0.5,0.2,0.5
91,RandUCB,200,0.5,0.5,0.3,0
92,RandUCB,200,0.5,0.5,0.3,0.1
93,RandUCB,200,0.5,0.5,0.3,0.2
94,RandUCB,200,0.5,0.5,0.3,0.3
95,RandUCB,200,0.5,0.5,0.3,0.4
96,RandUCB,200,0.5,0.5,0.3,0.5
97,RandUCB,200,0.5,0.5,0.4,0
98,RandUCB,200,0.5,0.5,0.4,0.1
99,RandUCB,200,0.5,0.5,0.4,0.2
100,RandUCB,200,0.5,0.5,0.4,0.3
101,RandUCB,200,0.5,0.5,0.4,0.4
102,RandUCB,200,0.5,0.5,0.4,0.5
103,RandUCB,200,0.5,0.5,0.5,0
104,RandUCB,200,0.5,0.5,0.5,0.1
105,RandUCB,200,0.5,0.5,0.5,0.2
106,RandUCB,200,0.5,0.5,0.5,0.3
107,RandUCB,200,0.5,0.5,0.5,0.4
108,RandUCB,200,0.5,0.5,0.5,0.5
109,RandUCB,200,0.7,0.7,0,0
110,RandUCB,200,0.7,0.7,0,0.1
111,RandUCB,200,0.7,0.7,0,0.2
112,RandUCB,200,0.7,0.7,0,0.3
113,RandUCB,200,0.7,0.7,0,0.4
114,RandUCB,200,0.7,0.7,0,0.5
115,RandUCB,200,0.7,0.7,0.1,0
116,RandUCB,200,0.7,0.7,0.1,0.1
117,RandUCB,200,0.7,0.7,0.1,0.2
118,RandUCB,200,0.7,0.7,0.1,0.3
119,RandUCB,200,0.7,0.7,0.1,0.4
120,RandUCB,200,0.7,0.7,0.1,0.5
121,RandUCB,200,0.7,0.7,0.2,0
122,RandUCB,200,0.7,0.7,0.2,0.1
123,RandUCB,200,0.7,0.7,0.2,0.2
124,RandUCB,200,0.7,0.7,0.2,0.3
125,RandUCB,200,0.7,0.7,0.2,0.4
126,RandUCB,200,0.7,0.7,0.2,0.5
127,RandUCB,200,0.7,0.7,0.3,0
128,RandUCB,200,0.7,0.7,0.3,0.1
129,RandUCB,200,0.7,0.7,0.3,0.2
130,RandUCB,200,0.7,0.7,0.3,0.3
131,RandUCB,200,0.7,0.7,0.3,0.4
132,RandUCB,200,0.7,0.7,0.3,0.5
133,RandUCB,200,0.7,0.7,0.4,0
134,RandUCB,200,0.7,0.7,0.4,0.1
135,RandUCB,200,0.7,0.7,0.4,0.2
136,RandUCB,200,0.7,0.7,0.4,0.3
137,RandUCB,200,0.7,0.7,0.4,0.4
138,RandUCB,200,0.7,0.7,0.4,0.5
139,RandUCB,200,0.7,0.7,0.5,0
140,RandUCB,200,0.7,0.7,0.5,0.1
141,RandUCB,200,0.7,0.7,0.5,0.2
142,RandUCB,200,0.7,0.7,0.5,0.3
143,RandUCB,200,0.7,0.7,0.5,0.4
144,RandUCB,200,0.7,0.7,0.5,0.5
145,RandUCB,200,0.9,0.9,0,0
146,RandUCB,200,0.9,0.9,0,0.1
147,RandUCB,200,0.9,0.9,0,0.2
148,RandUCB,200,0.9,0.9,0,0.3
149,RandUCB,200,0.9,0.9,0,0.4
150,RandUCB,200,0.9,0.9,0,0.5
151,RandUCB,200,0.9,0.9,0.1,0
152,RandUCB,200,0.9,0.9,0.1,0.1
153,RandUCB,200,0.9,0.9,0.1,0.2
154,RandUCB,200,0.9,0.9,0.1,0.3
155,RandUCB,200,0.9,0.9,0.1,0.4
156,RandUCB,200,0.9,0.9,0.1,0.5
157,RandUCB,200,0.9,0.9,0.2,0
158,RandUCB,200,0.9,0.9,0.2,0.1
159,RandUCB,200,0.9,0.9,0.2,0.2
160,RandUCB,200,0.9,0.9,0.2,0.3
161,RandUCB,200,0.9,0.9,0.2,0.4
162,RandUCB,200,0.9,0.9,0.2,0.5
163,RandUCB,200,0.9,0.9,0.3,0
164,RandUCB,200,0.9,0.9,0.3,0.1
165,RandUCB,200,0.9,0.9,0.3,0.2
166,RandUCB,200,0.9,0.9,0.3,0.3
167,RandUCB,200,0.9,0.9,0.3,0.4
168,RandUCB,200,0.9,0.9,0.3,0.5
169,RandUCB,200,0.9,0.9,0.4,0
170,RandUCB,200,0.9,0.9,0.4,0.1
171,RandUCB,200,0.9,0.9,0.4,0.2
172,RandUCB,200,0.9,0.9,0.4,0.3
173,RandUCB,200,0.9,0.9,0.4,0.4
174,RandUCB,200,0.9,0.9,0.4,0.5
175,RandUCB,200,0.9,0.9,0.5,0
176,RandUCB,200,0.9,0.9,0.5,0.1
177,RandUCB,200,0.9,0.9,0.5,0.2
178,RandUCB,200,0.9,0.9,0.5,0.3
179,RandUCB,200,0.9,0.9,0.5,0.4
180,RandUCB,200,0.9,0.9,0.5,0.5
181,RandUCB,526,0.1,0.2,0,0
182,RandUCB,526,0.1,0.2,0,0.1
183,RandUCB,526,0.1,0.2,0,0.2
184,RandUCB,526,0.1,0.2,0,0.3
185,RandUCB,526,0.1,0.2,0,0.4
186,RandUCB,526,0.1,0.2,0,0.5
187,RandUCB,526,0.1,0.2,0.1,0
188,RandUCB,526,0.1,0.2,0.1,0.1
189,RandUCB,526,0.1,0.2,0.1,0.2
190,RandUCB,526,0.1,0.2,0.1,0.3
191,RandUCB,526,0.1,0.2,0.1,0.4
192,RandUCB,526,0.1,0.2,0.1,0.5
193,RandUCB,526,0.1,0.2,0.2,0
194,RandUCB,526,0.1,0.2,0.2,0.1
195,RandUCB,526,0.1,0.2,0.2,0.2
196,RandUCB,526,0.1,0.2,0.2,0.3
197,RandUCB,526,0.1,0.2,0.2,0.4
198,RandUCB,526,0.1,0.2,0.2,0.5
199,RandUCB,526,0.1,0.2,0.3,0
200,RandUCB,526,0.1,0.2,0.3,0.1
201,RandUCB,526,0.1,0.2,0.3,0.2
202,RandUCB,526,0.1,0.2,0.3,0.3
203,RandUCB,526,0.1,0.2,0.3,0.4
204,RandUCB,526,0.1,0.2,0.3,0.5
205,RandUCB,526,0.1,0.2,0.4,0
206,RandUCB,526,0.1,0.2,0.4,0.1
207,RandUCB,526,0.1,0.2,0.4,0.2
208,RandUCB,526,0.1,0.2,0.4,0.3
209,RandUCB,526,0.1,0.2,0.4,0.4
210,RandUCB,526,0.1,0.2,0.4,0.5
211,RandUCB,526,0.1,0.2,0.5,0
212,RandUCB,526,0.1,0.2,0.5,0.1
213,RandUCB,526,0.1,0.2,0.5,0.2
214,RandUCB,526,0.1,0.2,0.5,0.3
215,RandUCB,526,0.1,0.2,0.5,0.4
216,RandUCB,526,0.1,0.2,0.5,0.5
217,RandUCB,162,0.1,0.3,0,0
218,RandUCB,162,0.1,0.3,0,0.1
219,RandUCB,162,0.1,0.3,0,0.2
220,RandUCB,162,0.1,0.3,0,0.3
221,RandUCB,162,0.1,0.3,0,0.4
222,RandUCB,162,0.1,0.3,0,0.5
223,RandUCB,162,0.1,0.3,0.1,0
224,RandUCB,162,0.1,0.3,0.1,0.1
225,RandUCB,162,0.1,0.3,0.1,0.2
226,RandUCB,162,0.1,0.3,0.1,0.3
227,RandUCB,162,0.1,0.3,0.1,0.4
228,RandUCB,162,0.1,0.3,0.1,0.5
229,RandUCB,162,0.1,0.3,0.2,0
230,RandUCB,162,0.1,0.3,0.2,0.1
231,RandUCB,162,0.1,0.3,0.2,0.2
232,RandUCB,162,0.1,0.3,0.2,0.3
233,RandUCB,162,0.1,0.3,0.2,0.4
234,RandUCB,162,0.1,0.3,0.2,0.5
235,RandUCB,162,0.1,0.3,0.3,0
236,RandUCB,162,0.1,0.3,0.3,0.1
237,RandUCB,162,0.1,0.3,0.3,0.2
238,RandUCB,162,0.1,0.3,0.3,0.3
239,RandUCB,162,0.1,0.3,0.3,0.4
240,RandUCB,162,0.1,0.3,0.3,0.5
241,RandUCB,162,0.1,0.3,0.4,0
242,RandUCB,162,0.1,0.3,0.4,0.1
243,RandUCB,162,0.1,0.3,0.4,0.2
244,RandUCB,162,0.1,0.3,0.4,0.3
245,RandUCB,162,0.1,0.3,0.4,0.4
246,RandUCB,162,0.1,0.3,0.4,0.5
247,RandUCB,162,0.1,0.3,0.5,0
248,RandUCB,162,0.1,0.3,0.5,0.1
249,RandUCB,162,0.1,0.3,0.5,0.2
250,RandUCB,162,0.1,0.3,0.5,0.3
251,RandUCB,162,0.1,0.3,0.5,0.4
252,RandUCB,162,0.1,0.3,0.5,0.5
253,RandUCB,82,0.1,0.4,0,0
254,RandUCB,82,0.1,0.4,0,0.1
255,RandUCB,82,0.1,0.4,0,0.2
256,RandUCB,82,0.1,0.4,0,0.3
257,RandUCB,82,0.1,0.4,0,0.4
258,RandUCB,82,0.1,0.4,0,0.5
259,RandUCB,82,0.1,0.4,0.1,0
260,RandUCB,82,0.1,0.4,0.1,0.1
261,RandUCB,82,0.1,0.4,0.1,0.2
262,RandUCB,82,0.1,0.4,0.1,0.3
263,RandUCB,82,0.1,0.4,0.1,0.4
264,RandUCB,82,0.1,0.4,0.1,0.5
265,RandUCB,82,0.1,0.4,0.2,0
266,RandUCB,82,0.1,0.4,0.2,0.1
267,RandUCB,82,0.1,0.4,0.2,0.2
268,RandUCB,82,0.1,0.4,0.2,0.3
269,RandUCB,82,0.1,0.4,0.2,0.4
270,RandUCB,82,0.1,0.4,0.2,0.5
271,RandUCB,82,0.1,0.4,0.3,0
272,RandUCB,82,0.1,0.4,0.3,0.1
273,RandUCB,82,0.1,0.4,0.3,0.2
274,RandUCB,82,0.1,0.4,0.3,0.3
275,RandUCB,82,0.1,0.4,0.3,0.4
276,RandUCB,82,0.1,0.4,0.3,0.5
277,RandUCB,82,0.1,0.4,0.4,0
278,RandUCB,82,0.1,0.4,0.4,0.1
279,RandUCB,82,0.1,0.4,0.4,0.2
280,RandUCB,82,0.1,0.4,0.4,0.3
281,RandUCB,82,0.1,0.4,0.4,0.4
282,RandUCB,82,0.1,0.4,0.4,0.5
283,RandUCB,82,0.1,0.4,0.5,0
284,RandUCB,82,0.1,0.4,0.5,0.1
285,RandUCB,82,0.1,0.4,0.5,0.2
286,RandUCB,82,0.1,0.4,0.5,0.3
287,RandUCB,82,0.1,0.4,0.5,0.4
288,RandUCB,82,0.1,0.4,0.5,0.5
289,RandUCB,254,0.4,0.6,0,0
290,RandUCB,254,0.4,0.6,0,0.1
291,RandUCB,254,0.4,0.6,0,0.2
292,RandUCB,254,0.4,0.6,0,0.3
293,RandUCB,254,0.4,0.6,0,0.4
294,RandUCB,254,0.4,0.6,0,0.5
295,RandUCB,254,0.4,0.6,0.1,0
296,RandUCB,254,0.4,0.6,0.1,0.1
297,RandUCB,254,0.4,0.6,0.1,0.2
298,RandUCB,254,0.4,0.6,0.1,0.3
299,RandUCB,254,0.4,0.6,0.1,0.4
300,RandUCB,254,0.4,0.6,0.1,0.5
301,RandUCB,254,0.4,0.6,0.2,0
302,RandUCB,254,0.4,0.6,0.2,0.1
303,RandUCB,254,0.4,0.6,0.2,0.2
304,RandUCB,254,0.4,0.6,0.2,0.3
305,RandUCB,254,0.4,0.6,0.2,0.4
306,RandUCB,254,0.4,0.6,0.2,0.5
307,RandUCB,254,0.4,0.6,0.3,0
308,RandUCB,254,0.4,0.6,0.3,0.1
309,RandUCB,254,0.4,0.6,0.3,0.2
310,RandUCB,254,0.4,0.6,0.3,0.3
311,RandUCB,254,0.4,0.6,0.3,0.4
312,RandUCB,254,0.4,0.6,0.3,0.5
313,RandUCB,254,0.4,0.6,0.4,0
314,RandUCB,254,0.4,0.6,0.4,0.1
315,RandUCB,254,0.4,0.6,0.4,0.2
316,RandUCB,254,0.4,0.6,0.4,0.3
317,RandUCB,254,0.4,0.6,0.4,0.4
318,RandUCB,254,0.4,0.6,0.4,0.5
319,RandUCB,254,0.4,0.6,0.5,0
320,RandUCB,254,0.4,0.6,0.5,0.1
321,RandUCB,254,0.4,0.6,0.5,0.2
322,RandUCB,254,0.4,0.6,0.5,0.3
323,RandUCB,254,0.4,0.6,0.5,0.4
324,RandUCB,254,0.4,0.6,0.5,0.5
325,RandUCB,82,0.6,0.9,0,0
326,RandUCB,82,0.6,0.9,0,0.1
327,RandUCB,82,0.6,0.9,0,0.2
328,RandUCB,82,0.6,0.9,0,0.3
329,RandUCB,82,0.6,0.9,0,0.4
330,RandUCB,82,0.6,0.9,0,0.5
331,RandUCB,82,0.6,0.9,0.1,0
332,RandUCB,82,0.6,0.9,0.1,0.1
333,RandUCB,82,0.6,0.9,0.1,0.2
334,RandUCB,82,0.6,0.9,0.1,0.3
335,RandUCB,82,0.6,0.9,0.1,0.4
336,RandUCB,82,0.6,0.9,0.1,0.5
337,RandUCB,82,0.6,0.9,0.2,0
338,RandUCB,82,0.6,0.9,0.2,0.1
339,RandUCB,82,0.6,0.9,0.2,0.2
340,RandUCB,82,0.6,0.9,0.2,0.3
341,RandUCB,82,0.6,0.9,0.2,0.4
342,RandUCB,82,0.6,0.9,0.2,0.5
343,RandUCB,82,0.6,0.9,0.3,0
344,RandUCB,82,0.6,0.9,0.3,0.1
345,RandUCB,82,0.6,0.9,0.3,0.2
346,RandUCB,82,0.6,0.9,0.3,0.3
347,RandUCB,82,0.6,0.9,0.3,0.4
348,RandUCB,82,0.6,0.9,0.3,0.5
349,RandUCB,82,0.6,0.9,0.4,0
350,RandUCB,82,0.6,0.9,0.4,0.1
351,RandUCB,82,0.6,0.9,0.4,0.2
352,RandUCB,82,0.6,0.9,0.4,0.3
353,RandUCB,82,0.6,0.9,0.4,0.4
354,RandUCB,82,0.6,0.9,0.4,0.5
355,RandUCB,82,0.6,0.9,0.5,0
356,RandUCB,82,0.6,0.9,0.5,0.1
357,RandUCB,82,0.6,0.9,0.5,0.2
358,RandUCB,82,0.6,0.9,0.5,0.3
359,RandUCB,82,0.6,0.9,0.5,0.4
360,RandUCB,82,0.6,0.9,0.5,0.5
361,RandUCB,162,0.7,0.9,0,0
362,RandUCB,162,0.7,0.9,0,0.1
363,RandUCB,162,0.7,0.9,0,0.2
364,RandUCB,162,0.7,0.9,0,0.3
365,RandUCB,162,0.7,0.9,0,0.4
366,RandUCB,162,0.7,0.9,0,0.5
367,RandUCB,162,0.7,0.9,0.1,0
368,RandUCB,162,0.7,0.9,0.1,0.1
369,RandUCB,162,0.7,0.9,0.1,0.2
370,RandUCB,162,0.7,0.9,0.1,0.3
371,RandUCB,162,0.7,0.9,0.1,0.4
372,RandUCB,162,0.7,0.9,0.1,0.5
373,RandUCB,162,0.7,0.9,0.2,0
374,RandUCB,162,0.7,0.9,0.2,0.1
375,RandUCB,162,0.7,0.9,0.2,0.2
376,RandUCB,162,0.7,0.9,0.2,0.3
377,RandUCB,162,0.7,0.9,0.2,0.4
378,RandUCB,162,0.7,0.9,0.2,0.5
379,RandUCB,162,0.7,0.9,0.3,0
380,RandUCB,162,0.7,0.9,0.3,0.1
381,RandUCB,162,0.7,0.9,0.3,0.2
382,RandUCB,162,0.7,0.9,0.3,0.3
383,RandUCB,162,0.7,0.9,0.3,0.4
384,RandUCB,162,0.7,0.9,0.3,0.5
385,RandUCB,162,0.7,0.9,0.4,0
386,RandUCB,162,0.7,0.9,0.4,0.1
387,RandUCB,162,0.7,0.9,0.4,0.2
388,RandUCB,162,0.7,0.9,0.4,0.3
389,RandUCB,162,0.7,0.9,0.4,0.4
390,RandUCB,162,0.7,0.9,0.4,0.5
391,RandUCB,162,0.7,0.9,0.5,0
392,RandUCB,162,0.7,0.9,0.5,0.1
393,RandUCB,162,0.7,0.9,0.5,0.2
394,RandUCB,162,0.7,0.9,0.5,0.3
395,RandUCB,162,0.7,0.9,0.5,0.4
396,RandUCB,162,0.7,0.9,0.5,0.5
397,RandUCB,526,0.8,0.9,0,0
398,RandUCB,526,0.8,0.9,0,0.1
399,RandUCB,526,0.8,0.9,0,0.2
400,RandUCB,526,0.8,0.9,0,0.3
401,RandUCB,526,0.8,0.9,0,0.4
402,RandUCB,526,0.8,0.9,0,0.5
403,RandUCB,526,0.8,0.9,0.1,0
404,RandUCB,526,0.8,0.9,0.1,0.1
405,RandUCB,526,0.8,0.9,0.1,0.2
406,RandUCB,526,0.8,0.9,0.1,0.3
407,RandUCB,526,0.8,0.9,0.1,0.4
408,RandUCB,526,0.8,0.9,0.1,0.5
409,RandUCB,526,0.8,0.9,0.2,0
410,RandUCB,526,0.8,0.9,0.2,0.1
411,RandUCB,526,0.8,0.9,0.2,0.2
412,RandUCB,526,0.8,0.9,0.2,0.3
413,RandUCB,526,0.8,0.9,0.2,0.4
414,RandUCB,526,0.8,0.9,0.2,0.5
415,RandUCB,526,0.8,0.9,0.3,0
416,RandUCB,526,0.8,0.9,0.3,0.1
417,RandUCB,526,0.8,0.9,0.3,0.2
418,RandUCB,526,0.8,0.9,0.3,0.3
419,RandUCB,526,0.8,0.9,0.3,0.4
420,RandUCB,526,0.8,0.9,0.3,0.5
421,RandUCB,526,0.8,0.9,0.4,0
422,RandUCB,526,0.8,0.9,0.4,0.1
423,RandUCB,526,0.8,0.9,0.4,0.2
424,RandUCB,526,0.8,0.9,0.4,0.3
425,RandUCB,526,0.8,0.9,0.4,0.4
426,RandUCB,526,0.8,0.9,0.4,0.5
427,RandUCB,526,0.8,0.9,0.5,0
428,RandUCB,526,0.8,0.9,0.5,0.1
429,RandUCB,526,0.8,0.9,0.5,0.2
430,RandUCB,526,0.8,0.9,0.5,0.3
431,RandUCB,526,0.8,0.9,0.5,0.4
432,RandUCB,526,0.8,0.9,0.5,0.5
